PIP_angle,DIP_angle
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-16
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-15
12,-16
12,-16
12,-16
12,-16
12,-15
12,-15
12,-16
13,-15
13,-15
13,-16
14,-16
14,-16
15,-14
16,-14
16,-14
19,-13
19,-13
20,-13
20,-13
21,-12
21,-12
21,-12
22,-11
22,-11
22,-11
22,-11
23,-11
23,-11
24,-10
24,-10
24,-9
24,-9
24,-9
24,-9
24,-9
24,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-10
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
25,-9
26,-9
26,-9
26,-8
26,-8
27,-8
27,-8
28,-8
28,-8
29,-7
29,-7
30,-7
30,-7
30,-6
30,-6
31,-6
31,-6
32,-5
32,-5
33,-5
34,-4
34,-4
34,-4
33,-5
34,-4
34,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
33,-4
34,-4
34,-4
34,-5
34,-4
33,-4
33,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
33,-4
33,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
34,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
34,-4
34,-4
34,-4
34,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-3
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-5
33,-4
33,-5
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
33,-4
32,-4
32,-4
32,-4
32,-4
32,-4
32,-4
32,-4
32,-4
32,-4
32,-4
32,-5
32,-5
32,-5
32,-4
32,-5
31,-4
31,-5
31,-5
31,-5
31,-5
31,-5
