Time;DP_data1x;DP_data1z;DP_data2x;DP_data2z;MP_data1x;MP_data1z;MP_data2x;MP_data2z;PP_data1x;PP_data1z;PP_data2x;PP_data2z
0,009001;0,327403;0,134432644;0,303659528;0,133614764;0,26257354;0,123072758;0,230089232;0,112636514;0,178398088;0,114731252;0,132577166;0,110274032
0,018001;0,327405;0,134432986;0,303658456;0,133595601;0,262575507;0,123070151;0,23007597;0,112614036;0,178403422;0,114708722;0,132566467;0,110265777
0,027002;0,327405;0,134432986;0,303658456;0,133595601;0,262575507;0,123070151;0,23007597;0,112614036;0,178403422;0,114708722;0,132566467;0,110265777
0,036002;0,327405;0,134436071;0,303646892;0,133585766;0,26258412;0,123058967;0,230083764;0,11260587;0,178405404;0,114709675;0,132572725;0,110261708
0,045002;0,327405;0,134436071;0,303646892;0,133585766;0,26258412;0,123058967;0,230083764;0,11260587;0,178405404;0,114709675;0,132572725;0,110261708
0,054003;0,327420;0,134448275;0,303658992;0,133609295;0,262572199;0,12308836;0,230094388;0,112645648;0,178396657;0,114737667;0,132570714;0,110271722
0,063003;0,327420;0,134448275;0,303658992;0,133609295;0,262572199;0,12308836;0,230094388;0,112645648;0,178396657;0,114737667;0,132570714;0,110271722
0,072004;0,327405;0,134448081;0,303658783;0,133609459;0,262586176;0,123085253;0,230111599;0,112670183;0,178410456;0,114755906;0,132566065;0,110270627
0,081005;0,327405;0,134448081;0,303658783;0,133609459;0,262586176;0,123085253;0,230111599;0,112670183;0,178410456;0,114755906;0,132566065;0,110270627
0,090005;0,327405;0,134446889;0,303644449;0,133612484;0,262571037;0,12309248;0,230092093;0,112626001;0,178406119;0,114721499;0,132565141;0,110270143
0,099006;0,327405;0,134446889;0,303644449;0,133612484;0,262571037;0,12309248;0,230092093;0,112626001;0,178406119;0,114721499;0,132565141;0,110270143
0,108006;0,327403;0,134443238;0,303645462;0,133611903;0,262593359;0,123069458;0,230079368;0,112635098;0,178399935;0,114738405;0,132577613;0,110284254
0,117007;0,327403;0,134443238;0,303645462;0,133611903;0,262593359;0,123069458;0,230079368;0,112635098;0,178399935;0,114738405;0,132577613;0,110284254
0,126007;0,327403;0,134441659;0,303645641;0,133611873;0,262584805;0,123080723;0,230100542;0,112654641;0,178399414;0,114738405;0,132554665;0,110256359
0,135008;0,327403;0,134441659;0,303645641;0,133611873;0,262584805;0,123080723;0,230100542;0,112654641;0,178399414;0,114738405;0,132554665;0,110256359
0,144008;0,327415;0,134449214;0,303643554;0,133612797;0,262571037;0,123079062;0,230062991;0,112610184;0,17839551;0,114737026;0,13257283;0,110280968
0,153009;0,327394;0,13443689;0,303623319;0,133593649;0,262560844;0,123084828;0,230072886;0,112604715;0,178393081;0,114713743;0,132559001;0,110267393
0,162009;0,327394;0,13443689;0,303623319;0,133593649;0,262560844;0,123084828;0,230072886;0,112604715;0,178393081;0,114713743;0,132559001;0,110267393
0,171010;0,327390;0,134437919;0,303644776;0,13360697;0,262568235;0,123088315;0,230076;0,112616293;0,17838347;0,114715852;0,132540196;0,110252514
0,180010;0,327390;0,134437919;0,303644776;0,13360697;0,262568235;0,123088315;0,230076;0,112616293;0,17838347;0,114715852;0,132540196;0,110252514
0,189011;0,327390;0,134441286;0,303619355;0,133598849;0,262555599;0,123089768;0,230066225;0,112649679;0,178383276;0,114719443;0,132549748;0,110264979
0,198011;0,327390;0,134441286;0,303619355;0,133598849;0,262555599;0,123089768;0,230066225;0,112649679;0,178383276;0,114719443;0,132549748;0,110264979
0,207012;0,327390;0,134444147;0,303623557;0,13361536;0,262559623;0,123081721;0,23007001;0,112614147;0,178384975;0,114739664;0,132540151;0,110260636
0,216012;0,327390;0,134444147;0,303623557;0,13361536;0,262559623;0,123081721;0,23007001;0,112614147;0,178384975;0,114739664;0,132540151;0,110260636
0,225013;0,327389;0,134444118;0,303619415;0,133598;0,262556165;0,123090714;0,230065823;0,112651832;0,178391367;0,114715278;0,132552385;0,110272042
0,234013;0,327389;0,134444118;0,303619415;0,133598;0,262556165;0,123090714;0,230065823;0,112651832;0,178391367;0,114715278;0,132552385;0,110272042
0,243014;0,327392;0,134441733;0,303645045;0,133608371;0,262559593;0,12309134;0,230066136;0,112599038;0,178387299;0,114736572;0,13256368;0,110282145
0,252014;0,327392;0,134441733;0,303645045;0,133608371;0,262559593;0,12309134;0,230066136;0,112599038;0,178387299;0,114736572;0,13256368;0,110282145
0,261015;0,327396;0,134434372;0,303622335;0,133598879;0,262562901;0,123078845;0,230055824;0,112606987;0,178388655;0,114734702;0,132556275;0,110271528
0,270015;0,327396;0,134434372;0,303622335;0,133598879;0,262562901;0,123078845;0,230055824;0,112606987;0,178388655;0,114734702;0,132556275;0,110271528
0,279016;0,327392;0,13444072;0,303637326;0,133611739;0,262558043;0,123089366;0,230075762;0,112658255;0,178382009;0,114736207;0,132555231;0,110271327
0,288016;0,327392;0,13444072;0,303637326;0,133611739;0,262558043;0,123089366;0,230075762;0,112658255;0,178382009;0,114736207;0,132555231;0,110271327
0,297017;0,327392;0,134441063;0,30364114;0,133624554;0,262565494;0,123078965;0,230065972;0,112617925;0,178388983;0,114736706;0,132556126;0,110272862
0,306017;0,327395;0,134438425;0,303623319;0,133594587;0,262562156;0,123086438;0,230066776;0,112614788;0,17839469;0,114713334;0,132557899;0,110268511
0,315018;0,327395;0,134438425;0,303623319;0,133594587;0,262562156;0,123086438;0,230066776;0,112614788;0,17839469;0,114713334;0,132557899;0,110268511
0,324018;0,327400;0,134438112;0,303657085;0,133619606;0,262571633;0,123074278;0,230098143;0,11265295;0,178394526;0,114734165;0,132563591;0,110270575
0,333019;0,327400;0,134438112;0,303657085;0,133619606;0,262571633;0,123074278;0,230098143;0,11265295;0,178394526;0,114734165;0,132563591;0,110270575
0,342020;0,327405;0,13443172;0,30365777;0,133618221;0,262572914;0,123075902;0,230073258;0,112594984;0,178396806;0,114733279;0,132572964;0,110276818
0,351020;0,327405;0,13443172;0,30365777;0,133618221;0,262572914;0,123075902;0,230073258;0,112594984;0,178396806;0,114733279;0,132572964;0,110276818
0,360020;0,327404;0,134437263;0,303642422;0,133590922;0,262586176;0,123075679;0,230101198;0,112649605;0,178404778;0,114711143;0,132568985;0,110266976
0,369021;0,327404;0,134437263;0,303642422;0,133590922;0,262586176;0,123075679;0,230101198;0,112649605;0,178404778;0,114711143;0,132568985;0,110266976
0,378022;0,327410;0,134433091;0,303660721;0,133614331;0,262584001;0,123061806;0,230071351;0,112587281;0,17841579;0,114726305;0,132570788;0,110267922
0,387022;0,327408;0,134435967;0,303650111;0,133606136;0,262596518;0,123060286;0,230093777;0,11261414;0,178408295;0,114712529;0,132571533;0,110265099
0,396023;0,327408;0,134435967;0,303650111;0,133606136;0,262596518;0,123060286;0,230093777;0,11261414;0,178408295;0,114712529;0,132571533;0,110265099
0,405023;0,327412;0,134434924;0,303640038;0,133590609;0,262602001;0,123058669;0,230097368;0,112635694;0,178414822;0,114744365;0,132574514;0,110266343
0,414024;0,327412;0,134434924;0,303640038;0,133590609;0,262602001;0,123058669;0,230097368;0,112635694;0,178414822;0,114744365;0,132574514;0,110266343
0,423024;0,327416;0,134435847;0,303664654;0,133603424;0,262601882;0,123060815;0,230098128;0,112640277;0,178411499;0,114715688;0,132581756;0,110263512
0,432025;0,327416;0,134435847;0,303664654;0,133603424;0,262601882;0,123060815;0,230098128;0,112640277;0,178411499;0,114715688;0,132581756;0,110263512
0,441025;0,327416;0,13444072;0,303656012;0,133611619;0,262605667;0,123065472;0,230111495;0,112652496;0,178418204;0,114748709;0,132578343;0,110272333
0,450026;0,327416;0,13444072;0,303656012;0,133611619;0,262605667;0,123065472;0,230111495;0,112652496;0,178418204;0,114748709;0,132578343;0,110272333
0,459026;0,327425;0,134451345;0,303656489;0,133627146;0,262601286;0,123067796;0,230115414;0,112665072;0,178415596;0,114749663;0,132577509;0,110272765
0,469027;0,327408;0,134451345;0,303650081;0,133627146;0,262579411;0,123081326;0,230081201;0,112602599;0,178404272;0,114739105;0,132573187;0,110273547
0,478027;0,327407;0,134434164;0,303645819;0,133609936;0,262585372;0,123079851;0,230089232;0,112640552;0,178399533;0,114735469;0,132578552;0,110282466
0,487028;0,327407;0,134434164;0,303645819;0,133609936;0,262585372;0,123079851;0,230089232;0,112640552;0,178399533;0,114735469;0,132578552;0,110282466
0,496028;0,327403;0,134439856;0,30365333;0,133604497;0,262578279;0,123064354;0,230087727;0,112640716;0,178401515;0,114717267;0,132564962;0,110272422
0,505029;0,327403;0,134439856;0,30365333;0,133604497;0,262578279;0,123064354;0,230087727;0,112640716;0,178401515;0,114717267;0,132564962;0,110272422
0,514029;0,327398;0,134438083;0,30363822;0,133593202;0,262568623;0,123077206;0,230083957;0,112616301;0,178392857;0,114734218;0,132562801;0,110270873
0,523030;0,327398;0,134438083;0,30363822;0,133593202;0,262568623;0,123077206;0,230083957;0,112616301;0,178392857;0,114734218;0,132562801;0,110270873
0,532031;0,327399;0,134440601;0,303650349;0,133607492;0,262560815;0,123088636;0,230059236;0,112611234;0,178395763;0,114715569;0,132546768;0,110255755
0,541031;0,327399;0,134440601;0,303650349;0,133607492;0,262560815;0,123088636;0,230059236;0,112611234;0,178395763;0,114715569;0,132546768;0,110255755
0,550031;0,327394;0,134440899;0,303646535;0,133606508;0,262559175;0,123088479;0,230081201;0,112643056;0,178386986;0,114717759;0,132556915;0,110271923
0,559032;0,327394;0,134440899;0,303646535;0,133606508;0,262559175;0,123088479;0,230081201;0,112643056;0,178386986;0,114717759;0,132556915;0,110271923
0,568033;0,327387;0,13443698;0,303627253;0,133591607;0,262563527;0,123066001;0,230066329;0,112629876;0,178378746;0,114737168;0,132561624;0,11027997
0,577033;0,327387;0,13443698;0,303627253;0,133591607;0,262563527;0,123066001;0,230066329;0,112629876;0,178378746;0,114737168;0,132561624;0,11027997
0,586033;0,327382;0,134442523;0,303612143;0,133596465;0,262548804;0,123090498;0,230052292;0,11264199;0,178381518;0,114717603;0,132552519;0,110283807
0,595034;0,327382;0,134442523;0,303612143;0,133596465;0,262548804;0,123090498;0,230052292;0,11264199;0,178381518;0,114717603;0,132552519;0,110283807
0,604035;0,327378;0,134444311;0,303625047;0,13361457;0,262544274;0,123093367;0,230047956;0,112643339;0,178367302;0,114742003;0,132548928;0,110285401
0,613035;0,327378;0,134444311;0,303625047;0,13361457;0,262544274;0,123093367;0,230047956;0,112643339;0,178367302;0,114742003;0,132548928;0,110285401
0,622036;0,327374;0,1344437;0,303615808;0,133600071;0,26254034;0,123093851;0,230031773;0,112621486;0,178363487;0,114741117;0,132531688;0,11026939
0,631036;0,327374;0,1344437;0,303615808;0,133600071;0,26254034;0,123093851;0,230031773;0,112621486;0,178363487;0,114741117;0,132531688;0,11026939
0,640037;0,327373;0,134445503;0,303613544;0,133597717;0,262539446;0,123094924;0,230051652;0,112653099;0,178361475;0,114744462;0,132522151;0,110263452
0,649037;0,327373;0,134445503;0,303613544;0,133597717;0,262539446;0,123094924;0,230051652;0,112653099;0,178361475;0,114744462;0,132522151;0,110263452
0,658037;0,327371;0,134445533;0,303590953;0,133572266;0,262536854;0,123095892;0,230044603;0,112625048;0,178360358;0,114747539;0,132528141;0,110272914
0,667038;0,327371;0,134445533;0,303590953;0,133572266;0,262536854;0,123095892;0,230044603;0,112625048;0,178360358;0,114747539;0,132528141;0,110272914
0,676039;0,327367;0,134447813;0,303610116;0,133601233;0,262537569;0,123100065;0,230057791;0,11264912;0,178360984;0,114746861;0,13254109;0,11029318
0,685039;0,327367;0,134447813;0,303610116;0,133601233;0,262537569;0,123100065;0,230057791;0,11264912;0,178360984;0,114746861;0,13254109;0,11029318
0,694040;0,327366;0,134448797;0,303577513;0,133577511;0,26253593;0,123099238;0,23002699;0,112628676;0,178359434;0,11474818;0,132517621;0,110265099
0,703040;0,327366;0,134448797;0,303577513;0,133577511;0,26253593;0,123099238;0,23002699;0,112628676;0,178359434;0,11474818;0,132517621;0,110265099
0,712041;0,327363;0,134446502;0,30360961;0,133599997;0,26253435;0,123097524;0,230024144;0,112657182;0,178356975;0,11474482;0,132514909;0,11026597
0,721041;0,327363;0,134446502;0,30360961;0,133599997;0,26253435;0,123097524;0,230024144;0,112657182;0,178356975;0,11474482;0,132514909;0,11026597
0,730042;0,327362;0,134443477;0,303611368;0,133613154;0,262537003;0,123086162;0,230050966;0,112645753;0,178354636;0,114745043;0,132515594;0,110264115
0,739042;0,327362;0,134443477;0,303611368;0,133613154;0,262537003;0,123086162;0,230050966;0,112645753;0,178354636;0,114745043;0,132515594;0,110264115
0,748043;0,327363;0,134446323;0,303585321;0,133571833;0,262530148;0,123097301;0,230028436;0,1126443;0,178354263;0,114745475;0,132521257;0,110273384
