PIP,DIP
0,0
-0.236855641,0.119690049
-0.236855641,0.119690049
-1.003299901,0.146605087
0.064066413,0.15158522
0.064066413,0.15158522
0.074659533,-2.044188218
-0.881086738,-1.2511948
-0.881086738,-1.2511948
-2.126736204,-1.301540538
0.094353034,-1.258084425
0.094353034,-1.258084425
0.094353034,-1.258084425
0.117936862,-1.314521399
0.296569179,-4.424793881
0.296569179,-4.424793881
0.333864286,-4.469306692
-4.151651925,-1.413235663
-4.151651925,-1.413235663
-2.170110683,-1.582229283
-2.170110683,-1.582229283
-0.773522421,-1.053875814
0.732488612,-0.664799873
0.732488612,-0.664799873
1.860927658,-0.06947925
1.860927658,-0.06947925
1.860927658,-0.06947925
3.231169373,0.275557094
4.34928717,0.716390683
5.102370619,1.096822605
5.102370619,1.096822605
5.812087037,1.450067829
6.763640325,1.625529394
6.763640325,1.625529394
7.769058921,1.860386126
8.191330016,2.128663412
8.331723839,2.316670404
8.331723839,2.316670404
8.331723839,2.316670404
8.727638972,2.468621686
8.979644405,2.59932837
8.979644405,2.59932837
9.033626749,2.563699436
9.10963645,2.529513323
9.041871662,2.618230479
9.041871662,2.618230479
9.136519449,2.480185885
9.0117685,2.440753197
9.0117685,2.440753197
9.043230603,2.410379274
8.881954755,2.503370951
8.896182566,2.38415907
8.896182566,2.38415907
8.607294146,2.465281254
8.358628937,2.414601287
8.358628937,2.414601287
7.997204965,2.185647664
7.694222018,1.859874233
7.036939697,1.636253636
7.036939697,1.636253636
6.395362065,1.401323256
5.612090826,0.9267441
4.816712039,0.686797036
4.816712039,0.686797036
4.171169475,0.18354751
3.371784609,-0.129502068
2.482549985,-0.26563143
2.482549985,-0.26563143
1.808207854,-0.702373853
1.808207854,-0.702373853
0.819004492,-1.012919216
-0.145264238,-1.287289749
-0.145264238,-1.287289749
-0.145264238,-1.287289749
-1.042993981,-1.564507988
-1.042993981,-1.564507988
-2.006410922,-2.001116065
-2.954949963,-2.335221348
-2.954949963,-2.335221348
-3.988095388,-2.688747992
-4.992927165,-3.103510927
-4.992927165,-3.103510927
-4.992927165,-3.103510927
-6.076746319,-3.454889702
-7.003547669,-3.89679596
-7.003547669,-3.89679596
-8.200067143,-4.043345121
-8.200067143,-4.043345121
-9.096948228,-4.503685917
-10.31463727,-4.90731559
-11.35841602,-5.463955008
-11.35841602,-5.463955008
-11.35841602,-5.463955008
-12.74304062,-5.374932237
-13.56101153,-6.077480511
-13.56101153,-6.077480511
-13.56101153,-6.077480511
-15.89733362,-5.221432937
-16.0287858,-6.55515508
-18.43175213,-5.866983335
-18.43175213,-5.866983335
-18.41655534,-7.393575393
-18.41655534,-7.393575393
